location_name,address,city,state,zipcode,count(1)
snellville,2932 main st w,snellville,ga,30078,14185
kildeer,20429 n rand rd,kildeer,il,60047,14184
north academy,7990 n academy blvd,colorado springs,co,80920,14168
wesley chapel weddington,6390 weddington rd,matthews,nc,28104,14151
lake jackson,121 highway 332 w  a,lake jackson,tx,77566,14126
kyle,5289 kyle center dr,kyle,tx,78640,14120
fox valley center,4435 fox valley center dr,aurora,il,60504,14120
chapel hill,420 howe ave,cuyahoga falls,oh,44221,14107
jackson amp; macarthur,1300 macarthur dr,alexandria,la,71301,14092
johns creek,3643 peachtree pkwy,suwanee,ga,30024,14073
mall of louisiana,6401 bluebonnet blvd ste fc10,baton rouge,la,70836,14068
gateway at sanatoga,14 w lightcap rd,pottstown,pa,19464,14048
st augustine,1752 us highway 1 s,saint augustine,fl,32084,14025
riverdale dwarf house,6549 highway 85,riverdale,ga,30274,14018
north druid hills,2340 n druid hills rd ne,atlanta,ga,30329,13993
lake mary blvd,4420 w lake mary blvd,lake mary,fl,32746,13976
first colony mall,16535 sw freeway,sugar land,tx,77479,13971
middleburg,1710 blanding blvd,middleburg,fl,32068,13970
line creek,2720 highway 54,peachtree city,ga,30269,13967
christiana,4657 ogletown stanton rd,newark,de,19713,13948
vallejo,1191 admiral callaghan ln,vallejo,ca,94591,13936
amelia island,464004 state road 200,yulee,fl,32097,13934
university of texasaustinsac,2201 speedway,austin,tx,78712,13910
westfield century city,10250 santa monica blvd,los angeles,ca,90067,13907
lassiter,3046 shallowford rd,marietta,ga,30062,13900
piedmont road,2580 piedmont rd ne,atlanta,ga,30324,13897
terre haute,3675 s us highway 41,terre haute,in,47802,13839
university of illinois  chicago,750 s halsted st,chicago,il,60607,13818
ellijay,475 howard simmons rd,ellijay,ga,30540,13794
northridge,8875 tampa ave,northridge,ca,91324,13789
international plaza mall,2223 n west shore blvd ste fc202,tampa,fl,33607,13774
sports arena,3570 sports arena blvd,san diego,ca,92110,13754
robinson,121 costco dr,pittsburgh,pa,15205,13737
walnut avenue,1031 s walnut ave,new braunfels,tx,78130,13723
east pearland,1512 broadway st,pearland,tx,77581,13714
ocoee,10620 w colonial dr,ocoee,fl,34761,13698
santa barbara,3707 state st,santa barbara,ca,93105,13657
king39;s college  king39;s on the square,20 public sq,wilkes barre,pa,18701,13648
waugh chapel,2615 brandermill blvd,gambrills,md,21054,13635
northridge drivethru only,8433 roswell rd,atlanta,ga,30350,13628
perimeter pointe,1145 mount vernon hwy,dunwoody,ga,30338,13576
georgia gwinnett college,1000 university center ln,lawrenceville,ga,30043,13564
hillcrest amp; university inline,6423 hillcrest ave,dallas,tx,75205,13559
american fork,183 n west state rd,american fork,ut,84003,13482
white oak crossing,220 shenstone ln,garner,nc,27529,13463
kroger/w marietta crossing,1000 whitlock ave nw,marietta,ga,30064,13438
hull street at brandermill,12301 chattanooga plz,midlothian,va,23112,13431
texas tech university  college of business,703 flint ave,lubbock,tx,79409,13409
texas southern university,3100 cleburne st,houston,tx,77004,13386
sawyer heights,2222 shearn st,houston,tx,77007,13349
newport pavilion,95 carothers rd,newport,ky,41071,13349
valley view mall,4802 valley view blvd nw,roanoke,va,24012,13339
westgate mall tx,7701 w interstate 40 ste 132,amarillo,tx,79121,13334
memorial drive,5542 memorial dr,stone mountain,ga,30083,13206
port orange gateway center,1761 dunlawton ave,port orange,fl,32127,13028
university of texasaustin,24th amp guadalupe,austin,tx,78713,12934
winter haven,143 landings blvd,winter haven,fl,33880,12726
nc aamp;t nc agricultural amp; technical state univ,1601 e market st,greensboro,nc,27411,12628
foothill ranch,26792 portola pkwy,foothill ranch,ca,92610,12598
tucker station,4340 hugh howell rd,tucker,ga,30084,12595
greendale,5351 s 76th st,greendale,wi,53129,12499
suwanee road,2835 lawrenceville suwanee rd,suwanee,ga,30024,12487
university of mississippi,third floor student union bldg,university,ms,38677,12476
la habra marketplace,1801 w imperial hwy,la habra,ca,90631,12450
chicago ridge,9600 ridgeland ave,chicago ridge,il,60415,12414
trussville al,5886 trussville crossings pkwy,birmingham,al,35235,12388
celebrate virginia,1094 international pkwy,fredericksburg,va,22406,12300
clayton,151 highway 441 n,clayton,ga,30525,12264
clinton,952 highway 80 e,clinton,ms,39056,12219
university of kansas,1445 jayhawk blvd,lawrence,ks,66045,12212
coral springs,1341 n university dr,coral springs,fl,33071,12212
indian trail,13801 e independence blvd,indian trail,nc,28079,12191
winchester road,7072 winchester rd,memphis,tn,38125,12146
papillion,8710 s 71st plz,papillion,ne,68133,12120
culpeper colonnade,15275 creativity dr,culpeper,va,22701,12071
woodbridge,2425 prince william pkwy,woodbridge,va,22192,12067
university of oklahoma health science center,1106 n stonewall ave,oklahoma city,ok,73117,12063
knoxville center,3001 knoxville center dr ste 2223,knoxville,tn,37924,12052
college football hall of fame,256 marietta st nw,atlanta,ga,30313,12044
sevierville,1432 parkway,sevierville,tn,37862,12037
