location_name,address,city,state,zipcode,count(1)
west schaumburg,90 barrington rd,schaumburg,il,60194,16672
steeplechase,9121 alaking ct,capitol heights,md,20743,16670
md anderson hospital,1515 holcombe blvd,houston,tx,77030,16661
panama city mall,2238 n cove blvd,panama city,fl,32405,16658
maitland boulevard,8673 summit centre way,orlando,fl,32810,16655
university of north carolina hospitalbeach,1 medical dr,chapel hill,nc,27599,16655
shops at rossmoor,12101 seal beach blvd,seal beach,ca,90740,16650
bloomington east,3020 e 3rd st,bloomington,in,47401,16638
frostburg state university,stadium road,frostburg,md,21532,16633
south florida avenue,4625 s florida ave,lakeland,fl,33813,16632
palm beach atlantic university,1100 n dixie hwy,west palm beach,fl,33401,16627
twin creeks village,902 w mcdermott dr,allen,tx,75013,16624
grovetown,210 meridian drive,grovetown,ga,30813,16620
paducah,5193 hinkleville rd,paducah,ky,42001,16618
fort oglethorpe,1137 battlefield pkwy,fort oglethorpe,ga,30742,16606
university of new orleans,university ctr rm 250,new orleans,la,70148,16602
whispering creek,6104 n navarro st,victoria,tx,77904,16566
north pointe plaza md,2736 n salisbury blvd,salisbury,md,21801,16565
mercer university,1400 coleman ave,macon,ga,31207,16554
grady memorial hospital,80 jesse hill jr dr se,atlanta,ga,30303,16547
east longview,507 e loop 281,longview,tx,75605,16546
heartland mall,306 early blvd,early,tx,76802,16546
lynnhaven mall,701 lynnhaven pkwy,virginia beach,va,23452,16538
lower nazareth,3750 dryland way,easton,pa,18045,16536
willowbrook,7101 kingery hwy,willowbrook,il,60527,16535
cinco ranch,23860 westheimer pkwy,katy,tx,77494,16528
the colony,3705 main st,the colony,tx,75056,16518
sudley manor drive,10677 sudley manor dr,manassas,va,20109,16513
tampa international airportmain terminal,4100 george j bean pkwy,tampa,fl,33607,16506
harvard park,4001 richmond rd,warrensville heights,oh,44122,16504
las colinas,5350 n macarthur blvd,irving,tx,75038,16501
university town center irvine,4127 campus dr,irvine,ca,92612,16497
pike street,680 duluth hwy,lawrenceville,ga,30046,16494
morgan state university,1700 e cold spring ln,baltimore,md,21251,16487
main street,749 w main st  fm1171,lewisville,tx,75067,16484
merrillville,2385 southlake mall,merrillville,in,46410,16479
university of north florida,1 u n f dr,jacksonville,fl,32224,16474
college street,3825 college st,beaumont,tx,77701,16468
university of houstonthe satellite,3801 cullen blvd,houston,tx,77004,16464
new tampa at i75,17513 bruce b downs blvd,tampa,fl,33647,16464
columbia mall md,10300 little patuxent pkwy  1092,columbia,md,21044,16459
north monroe street,2136 n monroe st,tallahassee,fl,32303,16459
pine island road,1790 ne pine island rd,cape coral,fl,33909,16455
plainfield,2687 e main st,plainfield,in,46168,16453
valley hills mall,1960 us highway 70 se ste 2121,hickory,nc,28602,16453
lionville,211 eagleview blvd,exton,pa,19341,16452
hawks creek,6650 westworth blvd,westworth village,tx,76114,16450
signal hill,9506 liberia ave,manassas,va,20110,16450
west texas aamp;m university,jbk student ctr,canyon,tx,79016,16449
seminole towne center,260 towne center cir,sanford,fl,32771,16445
university of maryland baltimore county,1000 hilltop cir,baltimore,md,21250,16443
greenbrier mall va,1401 greenbrier pkwy ste 2010,chesapeake,va,23320,16440
southpark mall il,4500 16th st,moline,il,61265,16430
salem crossing,2013 lynnhaven pkwy,virginia beach,va,23456,16422
104th amp; federal,10280 federal blvd,denver,co,80260,16421
sunnyvale,550 w el camino real,sunnyvale,ca,94087,16412
denton towne crossing,1711 s loop 288,denton,tx,76205,16411
valley view boulevard,4805 valley view blvd nw,roanoke,va,24012,16394
beavercreek,2360 n fairfield rd,beavercreek,oh,45431,16391
town center at aurora,14200 e alameda ave unit 2062,aurora,co,80012,16389
greenbriar mall ga,2841 greenbriar pkwy sw,atlanta,ga,30331,16382
orlando ave at fairbanks,700 s orlando ave,winter park,fl,32789,16379
tyndall parkway,401 n tyndall pkwy,panama city,fl,32404,16372
pensacola international airport,2430 airport blvd,pensacola,fl,32504,16371
vernon hills,701 n milwaukee ave ste 360,vernon hills,il,60061,16369
quarry creek,3475 marron rd,oceanside,ca,92056,16367
mechanicsburg,6416 carlisle pike ste 3500,mechanicsburg,pa,17050,16361
oaks mall,6419 w newberry rd ste g8,gainesville,fl,32605,16361
temple terrace,5302 e fowler ave,temple terrace,fl,33617,16357
fort collins,3605 s college ave,fort collins,co,80525,16356
dallas baptist university,3000 mountain creek pkwy,dallas,tx,75211,16356
grapevine hwy and midcities blvd,460 grapevine hwy,hurst,tx,76054,16356
longmont,215 ken pratt blvd,longmont,co,80501,16355
portsmouth blvd,4204 portsmouth blvd,chesapeake,va,23321,16353
southport road,5240 e southport rd,indianapolis,in,46237,16350
rome dwarf house,264 shorter ave nw,rome,ga,30165,16349
westpointe village,1663 w state highway 46,new braunfels,tx,78132,16349
the citadel,750 citadel dr e ste 2252,colorado springs,co,80909,16348
